Word,IPA,Meaning,Audio
Annotation,/ˌæn.əˈteɪ.ʃən/,Chú thích,[sound:Annotation.mp3]
Container,/kənˈteɪ.nər/,Bộ chứa,[sound:Container.mp3]
Deployment,/dɪˈplɔɪ.mənt/,Triển khai,[sound:Deployment.mp3]
Application,/ˌæp.lɪˈkeɪ.ʃən/,Ứng dụng,[sound:Application.mp3]
Platform,/ˈplæt.fɔːm/,Nền tảng,[sound:Platform.mp3]
Specification,/ˌspes.ɪ.fɪˈkeɪ.ʃən/,Đặc tả,[sound:Specification.mp3]
Enterprise,/ˈen.tə.praɪz/,Doanh nghiệp,[sound:Enterprise.mp3]
Community,/kəˈmjuː.nə.ti/,Cộng đồng,[sound:Community.mp3]
Tutorial,/tjuːˈtɔː.ri.əl/,Hướng dẫn,[sound:Tutorial.mp3]
Server,/ˈsɜː.vər/,Máy chủ,[sound:Server.mp3]
